accuracy,epoch,step,train_loss,val_loss
,0,42,,0.04985419288277626
,1,49,0.12917490303516388,
,1,85,,0.04819466546177864
,2,99,0.009215171448886395,
,2,128,,0.043538179248571396
,3,149,0.02236144058406353,
,3,171,,0.04223986715078354
,4,199,0.005338560324162245,
,4,214,,0.031138794496655464
0.9951691031455994,5,215,,
